model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,SQL,MASE,WAPE,WQL,model
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\proenfo_gfc12\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,168,10,-1680,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc12,0.739406849065414,,0.8760000000183936,110,7c9ee0786e7de9fc,False,0.7.0,0.739406849065414,0.9188163915756243,0.07966212123116953,0.06406945845015412,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\proenfo_gfc14\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc14,0.430143757145224,,0.29699999999138527,20,eb4b54a1ec3114bf,False,0.7.0,0.430143757145224,0.5386864683411984,0.026379872377623653,0.021060594006054804,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\proenfo_gfc17\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,['airtemperature'],[],[],proenfo_gfc17,0.5013640288095988,,1.2489999999816064,160,2c63b48ca8f6dd9a,False,0.7.0,0.5013640288095988,0.6318417714905433,0.04129296368843785,0.032805090930768624,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\rohlik_sales_1D\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,14,1,2023-12-15T00:00:00,14,14,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1D,0.8647538001582746,,36.921999999991385,4116,c475daf9af96ed16,False,0.7.0,0.8647538001582746,1.0775366416680696,0.2646259687375704,0.21222424758069122,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\rohlik_orders_1D\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,61,5,2023-05-01T00:00:00,61,1,,7,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1D,0.9918307294703632,,0.23500000000058208,35,1774b84125cff789,False,0.7.0,0.9918307294703632,1.236344903941439,0.0581354951148763,0.04677136018643385,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\rohlik_sales_1W\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,8,1,2023-12-15T00:00:00,8,8,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,sales,,"['holiday', 'school_holidays', 'sell_price_main', 'shops_closed', 'total_orders', 'type_0_discount', 'type_1_discount', 'type_2_discount', 'type_3_discount', 'type_4_discount', 'type_5_discount', 'type_6_discount', 'winter_school_holidays']",['availability'],"['L1_category_name_en', 'L2_category_name_en', 'L3_category_name_en', 'L4_category_name_en', 'name', 'product_unique_id', 'warehouse']",rohlik_sales_1W,1.1476445096190562,,6.4210000000020955,3942,09041d7a8a29c83f,False,0.7.0,1.1476445096190562,1.4184150474893666,0.2012501306572766,0.16260049153014663,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\rohlik_orders_1W\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,8,5,2023-05-01T00:00:00,8,1,,1,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,orders,,"['holiday', 'school_holidays', 'shops_closed', 'winter_school_holidays']","['blackout', 'frankfurt_shutdown', 'mini_shutdown', 'mov_change', 'precipitation', 'shutdown', 'snow', 'user_activity_1', 'user_activity_2']",[],rohlik_orders_1W,1.2903356789124913,,0.08000000001629815,35,bbb0372c6d5883ab,False,0.7.0,1.2903356789124913,1.5516607528561743,0.050368623104193856,0.04171004239843633,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\entsoe_15T\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,96,20,-1920,96,1,,96,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_15T,0.45100238669164766,,1.8130000000091968,120,4e80c208c8b54e76,False,0.7.0,0.45100238669164766,0.5712151944786444,0.04013572328863618,0.032062989761894034,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\entsoe_30T\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,96,20,-1920,96,1,,48,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_30T,0.4232071959699596,,1.7789999999513384,120,7a3623a47fa39853,False,0.7.0,0.4232071959699596,0.527479752032292,0.0346932664718278,0.027517149417893565,fp32_chronos2
fp32_chronos2,C:\Users\Maxim\.cache\huggingface\datasets\autogluon___fev_datasets\entsoe_1H\0.0.0\f71c0fff4cf81283a2c43e7f3a73aa4f9826aef8\fev_datasets-train.arrow,,168,20,-3360,168,1,,24,SQL,"['MASE', {'name': 'WAPE', 'epsilon': 1.0}, {'name': 'WQL', 'epsilon': 1.0}]","[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,"['radiation_diffuse_horizontal', 'radiation_direct_horizontal', 'temperature']",[],[],entsoe_1H,0.4169821047216124,,1.687999999994645,120,a900217b9207dc1a,False,0.7.0,0.4169821047216124,0.5202832325182071,0.03045845365853552,0.024571131076430157,fp32_chronos2
