model_name,win_rate,skill_score,median_training_time_s_per100,median_inference_time_s_per100,training_corpus_overlap,num_failures
Chronos-2,87.47368421052633,35.49604819631662,0.0,0.8031324525807175,0.0,0
fp32_chronos2,83.78947368421052,35.0322142580807,,0.31422619046289973,0.0,0
TiRex,75.92105263157896,30.012261671412087,0.0,0.22657166035714288,0.01,0
TimesFM-2.5,74.4736842105263,30.197590695974842,0.0,1.8920524236607146,0.1,0
Toto-1.0,66.73684210526316,28.213885409107164,0.0,22.06562094568182,0.08,0
Moirai-2.0,61.26315789473684,27.25905867510979,0.0,0.34801128166666667,0.28,0
Chronos-Bolt,60.473684210526315,26.51514785224567,0.0,0.24851168673039045,0.0,0
TabPFN-TS,59.44736842105263,27.649834806479856,0.0,88.93563502960615,0.0,2
CatBoost (Recursive),54.73684210526315,23.702902501373558,46.306328479166666,0.31158693542336235,0.0,0
Sundial-Base,54.71052631578948,24.746214191232585,0.0,8.013153291081863,0.01,0
LightGBM (Recursive),51.57894736842105,22.38692497552407,4.517155986666666,0.2738172229032139,0.0,0
Stat. Ensemble,47.76315789473685,15.654207763455553,0.0,148.58311610827104,0.0,11
spectral_ptq_chronos2,45.0,5.4874931436741825,,0.4786915438760413,0.0,0
AutoARIMA,37.81578947368421,11.239602667684679,0.0,19.52332778642857,0.0,10
AutoTheta,35.526315789473685,10.9884701559679,0.0,3.3652106486499997,0.0,0
AutoETS,34.71052631578947,2.258981670108584,0.0,3.5267286662745096,0.0,3
Seasonal Naive,23.13157894736842,0.0,0.0,0.455576268872549,0.0,0
Naive,20.76315789473684,-16.673948793089565,0.0,0.45289251607142855,0.0,0
Drift,17.36842105263158,-18.13920384837251,0.0,0.451296885,0.0,0
baseline_ptq_chronos2,7.3157894736842115,-78.9625858813255,,0.5333928571694524,0.0,0
