model_name,win_rate,skill_score,median_training_time_s_per100,median_inference_time_s_per100,training_corpus_overlap,num_failures
Chronos-2,91.63157894736841,47.28056105322771,0.0,0.8031324525807175,0.0,0
fp32_chronos2,87.63157894736841,46.92555876556227,,0.31422619046289973,0.0,0
TiRex,82.39473684210526,42.57610775202675,0.0,0.22657166035714288,0.01,0
TimesFM-2.5,78.26315789473685,42.20062128325953,0.0,1.8920524236607146,0.1,0
Toto-1.0,72.1578947368421,40.7460359139889,0.0,22.06562094568182,0.08,0
Moirai-2.0,66.6842105263158,39.332013785815214,0.0,0.34801128166666667,0.28,0
Chronos-Bolt,66.26315789473685,38.892961600022936,0.0,0.24851168673039045,0.0,0
TabPFN-TS,65.39473684210527,39.58671179038912,0.0,88.93563502960615,0.0,2
Sundial-Base,50.28947368421053,33.42287717226134,0.0,8.013153291081863,0.01,0
spectral_ptq_chronos2,49.421052631578945,18.154129461742375,,0.4786915438760413,0.0,0
Stat. Ensemble,46.131578947368425,20.161731427800046,0.0,148.58311610827104,0.0,11
AutoARIMA,42.5,20.561948549632326,0.0,19.52332778642857,0.0,10
CatBoost (Recursive),38.68421052631579,23.008145461168382,46.306328479166666,0.31158693542336235,0.0,0
LightGBM (Recursive),36.63157894736842,21.680184718646032,4.517155986666666,0.2738172229032139,0.0,0
AutoETS,35.026315789473685,-26.818526760288375,0.0,3.5267286662745096,0.0,3
AutoTheta,30.1578947368421,5.457380397818312,0.0,3.3652106486499997,0.0,0
Seasonal Naive,23.394736842105264,0.0,0.0,0.455576268872549,0.0,0
Naive,15.447368421052632,-45.398988807164976,0.0,0.45289251607142855,0.0,0
Drift,12.105263157894738,-45.77585379444895,0.0,0.451296885,0.0,0
baseline_ptq_chronos2,9.789473684210526,-72.7985614038809,,0.5333928571694524,0.0,0
