model_name,win_rate,skill_score,median_training_time_s_per100,median_inference_time_s_per100,training_corpus_overlap,num_failures
Chronos-2,85.73684210526315,39.40980595628945,0.0,0.8031324525807175,0.0,0
fp32_chronos2,83.26315789473685,38.94852775550189,,0.31422619046289973,0.0,0
TiRex,74.71052631578947,33.56017122067458,0.0,0.22657166035714288,0.01,0
TimesFM-2.5,74.63157894736841,33.719263075740194,0.0,1.8920524236607146,0.1,0
Toto-1.0,67.63157894736842,31.488756179777678,0.0,22.06562094568182,0.08,0
TabPFN-TS,64.92105263157895,33.36123166513091,0.0,88.93563502960615,0.0,2
Moirai-2.0,62.578947368421055,30.651048841637785,0.0,0.34801128166666667,0.28,0
Chronos-Bolt,61.0,29.770064235526473,0.0,0.24851168673039045,0.0,0
Sundial-Base,53.289473684210535,27.263435775595426,0.0,8.013153291081863,0.01,0
CatBoost (Recursive),50.684210526315795,24.57757544035092,46.306328479166666,0.31158693542336235,0.0,0
LightGBM (Recursive),49.999999999999986,23.704945428461077,4.517155986666666,0.2738172229032139,0.0,0
spectral_ptq_chronos2,48.73684210526316,15.814112600150887,,0.4786915438760413,0.0,0
Stat. Ensemble,46.026315789473685,17.693885547849597,0.0,148.58311610827104,0.0,11
AutoARIMA,36.13157894736842,13.271687847205381,0.0,19.52332778642857,0.0,10
AutoETS,35.55263157894737,4.328689341465408,0.0,3.5267286662745096,0.0,3
AutoTheta,33.0,13.794755020224814,0.0,3.3652106486499997,0.0,0
Naive,24.13157894736842,-6.11148881462471,0.0,0.45289251607142855,0.0,0
Seasonal Naive,21.973684210526315,0.0,0.0,0.455576268872549,0.0,0
Drift,18.63157894736842,-8.604851625817744,0.0,0.451296885,0.0,0
baseline_ptq_chronos2,7.36842105263158,-69.3863579208773,,0.5333928571694524,0.0,0
