model_name,win_rate,skill_score,median_training_time_s_per100,median_inference_time_s_per100,training_corpus_overlap,num_failures
Chronos-2,89.57894736842104,51.51952213752647,0.0,0.8031324525807175,0.0,0
fp32_chronos2,86.78947368421053,51.19760415164545,,0.31422619046289973,0.0,0
TiRex,80.02631578947368,46.66550397812589,0.0,0.22657166035714288,0.01,0
TimesFM-2.5,78.8421052631579,46.72558173490076,0.0,1.8920524236607146,0.1,0
Toto-1.0,73.00000000000001,45.00088243993733,0.0,22.06562094568182,0.08,0
TabPFN-TS,69.76315789473686,45.822378843833036,0.0,88.93563502960615,0.0,2
Moirai-2.0,68.15789473684211,43.864523387242194,0.0,0.34801128166666667,0.28,0
Chronos-Bolt,66.52631578947368,43.187343947848866,0.0,0.24851168673039045,0.0,0
spectral_ptq_chronos2,53.315789473684205,29.743741088491426,,0.4786915438760413,0.0,0
Sundial-Base,51.13157894736842,37.43731640370259,0.0,8.013153291081863,0.01,0
Stat. Ensemble,43.76315789473685,21.795752415252334,0.0,148.58311610827104,0.0,11
AutoARIMA,41.23684210526316,23.401617100945593,0.0,19.52332778642857,0.0,10
CatBoost (Recursive),38.73684210526315,25.69615448965702,46.306328479166666,0.31158693542336235,0.0,0
LightGBM (Recursive),37.684210526315795,24.836466325033367,4.517155986666666,0.2738172229032139,0.0,0
AutoETS,32.5,-27.026777935471568,0.0,3.5267286662745096,0.0,3
AutoTheta,28.894736842105274,7.846425960422055,0.0,3.3652106486499997,0.0,0
Seasonal Naive,22.236842105263154,0.0,0.0,0.455576268872549,0.0,0
Naive,15.131578947368418,-39.121433468308894,0.0,0.45289251607142855,0.0,0
Drift,12.052631578947368,-40.05851008470427,0.0,0.451296885,0.0,0
baseline_ptq_chronos2,10.631578947368418,-58.99286535649957,,0.5333928571694524,0.0,0
